Relatório de Clientes por Grupo

Total de Grupos: 13
Total de Clientes: 9485
Total de Cidades: 128

Cod.Cliente;Cliente;Cod.IBGE
Cliente 36563;RED3222;3538709
Cliente 36683;RED3234;3525706
Cliente 36684;RED3235;3550308
Cliente 36712;RED3239;3525706
Cliente 36713;RED3240;3525706
Cliente 36719;RED3241;3543402
Cliente 36768;RED3248;3529005
Cliente 36781;RED3252;3506508
Cliente 36823;RED3267;4106902
Cliente 36826;RED3269;4108304
Cliente 36827;RED3270;4113700
Cliente 36918;RED3292;4106902
Cliente 40599;RED3313;3541406
Cliente 45076;RED3426;4127106
Cliente 49239;RED3572;4107504
Cliente 49786;RED3588;3523107
Cliente 50637;RED3617;3506508
Cliente 50659;RED3620;3527108
Cliente 50704;RED3623;3541406
Cliente 50705;RED3624;3548708
Cliente 50710;RED3626;3522505
Cliente 50711;RED3627;3522505
Cliente 50712;RED3628;3522505
Cliente 50713;RED3629;3522505
Cliente 50714;RED3630;3522505
Cliente 51228;RED3660;3550308
Cliente 51229;RED3661;3547809
Cliente 53360;RED3773;3550308
Cliente 54028;RED3802;3548708
Cliente 54101;RED3807;3511003
Cliente 54102;RED3808;3511003
Cliente 54104;RED3809;3553401
Cliente 54106;RED3810;3522505
Cliente 54107;RED3811;3519071
Cliente 54113;RED3812;3503208
Cliente 54201;RED3819;3552205
Cliente 54276;RED3830;3525706
Cliente 55567;RED3899;3549805
Cliente 55574;RED3900;3552205
Cliente 55955;RED3926;3518800
Cliente 56784;RED3960;3525706
Cliente 56785;RED3961;3508108
Cliente 56789;RED3962;3525706
Cliente 56790;RED3963;3525706
Cliente 56791;RED3964;3525706
Cliente 56792;RED3965;3525706
Cliente 57504;RED4001;3540804
Cliente 57505;RED4002;3540804
Cliente 58096;RED4028;3531407
Cliente 58097;RED4029;3531407
Cliente 58434;RED4046;3550308
Cliente 58435;RED4047;3550308
Cliente 58450;RED4049;3526902
Cliente 59367;RED4094;3548708
Cliente 59843;RED4117;3550308
Cliente 60741;RED4167;4107504
Cliente 60781;RED4172;4103701
Cliente 65129;RED4301;3550308
Cliente 74693;RED4313;4106902
Cliente 74695;RED4314;4106902
Cliente 74698;RED4316;4119905
Cliente 74702;RED4318;3530300
Cliente 74704;RED4319;4119905
Cliente 74710;RED4321;4106902
Cliente 74835;RED4327;3506508
Cliente 75070;RED4331;4106902
Cliente 75827;RED4340;4106902
Cliente 86971;RED4355;3550308
Cliente 86976;RED4356;3554102
Cliente 91114;RED4382;4113700
Cliente 91141;RED4394;4113700
Cliente 91158;RED4400;4113700
Cliente 91177;RED4408;4113700
Cliente 91648;RED4511;3541406
Cliente 123540;RED4593;3509502
Cliente 124743;RED4600;3549805
Cliente 124816;RED4602;3550308
Cliente 124890;RED4603;3505500
Cliente 221311;RED4669;3550308
Cliente 221349;RED4670;4106902
Cliente 221529;RED4672;4118204
Cliente 221532;RED4673;4118204
Cliente 221662;RED4675;3519071
Cliente 221698;RED4676;4113700
Cliente 221704;RED4677;4113700
Cliente 221791;RED4679;3506508
Cliente 222483;RED4681;3541406
Cliente 223092;RED4686;3550308
Cliente 223094;RED4687;3550308
Cliente 223097;RED4688;3550308
Cliente 223099;RED4689;3550308
Cliente 223100;RED4690;3550308
Cliente 223103;RED4691;3550308
Cliente 223104;RED4692;3550308
Cliente 223156;RED4693;5008305
Cliente 223240;RED4701;3550308
Cliente 223241;RED4702;3550308
Cliente 223242;RED4703;3513009
Cliente 223244;RED4704;3550308
Cliente 223290;RED4705;3550308
Cliente 223448;RED4712;5008305
Cliente 223605;RED4719;4106902
Cliente 223722;RED4727;3541406
Cliente 224249;RED4751;3550308
Cliente 224252;RED4752;3515509
Cliente 224255;RED4753;3550308
Cliente 224295;RED4755;3550308
Cliente 225060;RED4773;3545803
Cliente 225289;RED4781;3523107
Cliente 225703;RED4794;3509502
Cliente 226586;RED4824;3546405
Cliente 226657;RED4826;3518800
Cliente 226687;RED4827;3515509
Cliente 226692;RED4828;3550308
Cliente 226712;RED4830;3550308
Cliente 226713;RED4831;3550308
Cliente 226714;RED4832;3550308
Cliente 226717;RED4833;3550308
Cliente 226719;RED4834;3550308
Cliente 226747;RED4835;3505500
Cliente 228414;RED4873;3524808
Cliente 229486;RED4905;3533403
Cliente 229618;RED4915;3549805
Cliente 229818;RED4916;3520509
Cliente 229819;RED4917;3520509
Cliente 229820;RED4918;3520509
Cliente 231239;RED5005;3550308
Cliente 231396;RED5016;3502804
Cliente 231404;RED5017;3506508
Cliente 231512;RED5024;4128104
Cliente 231717;RED5028;3520509
Cliente 233005;RED5050;4127106
Cliente 233553;RED5063;3529005
Cliente 233557;RED5065;3549805
Cliente 233753;RED5073;3515509
Cliente 233919;RED5081;4127106
Cliente 234490;RED5103;3550308
Cliente 234500;RED5105;3550308
Cliente 234501;RED5106;3548708
Cliente 234502;RED5107;3513009
Cliente 234503;RED5108;3548708
Cliente 234504;RED5109;3550308
Cliente 234505;RED5110;3550308
Cliente 234740;RED5120;4103701
Cliente 234822;RED5123;3525706
Cliente 235440;RED5150;3543402
Cliente 235944;RED5162;3513009
Cliente 235948;RED5163;3509502
Cliente 235950;RED5164;3550308
Cliente 235953;RED5165;3522505
Cliente 236099;RED5172;4118204
Cliente 236130;RED5173;4101507
Cliente 236410;RED5186;4105508
Cliente 237814;RED5253;3523107
Cliente 237856;RED5257;3510401
Cliente 238067;RED5266;4104808
Cliente 238256;RED5275;4104808
Cliente 238460;RED5286;3205200
Cliente 238939;RED5306;3550308
Cliente 238958;RED5308;3502804
Cliente 239012;RED5314;4106902
Cliente 239341;RED5320;4125506
Cliente 239716;RED5341;4113700
Cliente 239795;RED5348;3516705
Cliente 239870;RED5352;3555000
Cliente 240142;RED5360;3541406
Cliente 240834;RED5382;3552205
Cliente 242073;RED5425;3540804
Cliente 242407;RED5441;3552205
Cliente 242513;RED5444;3557105
Cliente 242636;RED5447;4119905
Cliente 243393;RED5468;3550308
Cliente 243394;RED5469;3529005
Cliente 243874;RED5485;3522505
Cliente 243877;RED5486;3552205
Cliente 244147;RED5492;3523107
Cliente 244370;RED5506;3508108
Cliente 244705;RED5523;3547809
Cliente 244820;RED5526;4118204
Cliente 245285;RED5539;3529005
Cliente 246071;RED5571;3529005
Cliente 247095;RED5611;3510401
Cliente 247118;RED5613;3550308
Cliente 247188;RED5614;4108304
Cliente 247419;RED5628;3550308
Cliente 247816;RED5636;3501608
Cliente 247829;RED5637;4115200
Cliente 248793;RED5658;3550308
Cliente 250347;RED5721;4105508
Cliente 250676;RED5745;3554102
Cliente 251026;RED5770;4115200
Cliente 251183;RED5774;4115200
Cliente 251277;RED5779;3538709
Cliente 251286;RED5780;3530300
Cliente 251290;RED5781;3548708
Cliente 251291;RED5782;3552205
Cliente 251299;RED5783;3550308
Cliente 251369;RED5787;3518800
Cliente 251376;RED5788;4104808
Cliente 251541;RED5794;3547809
Cliente 251603;RED5797;4104808
Cliente 251650;RED5800;3525706
Cliente 251870;RED5815;4115200
Cliente 252040;RED5819;3522505
Cliente 252246;RED5830;3518800
Cliente 252247;RED5831;3518800
Cliente 252248;RED5832;3505500
Cliente 252249;RED5833;3534708
Cliente 252250;RED5834;3518800
Cliente 252251;RED5835;3550308
Cliente 252252;RED5836;3525706
Cliente 252253;RED5837;3534708
Cliente 252254;RED5838;3550308
Cliente 252255;RED5839;3550308
Cliente 252256;RED5840;3554102
Cliente 252258;RED5841;3554102
Cliente 252259;RED5842;3554102
Cliente 252260;RED5843;3554102
Cliente 252261;RED5844;3550308
Cliente 252262;RED5845;3534708
Cliente 252264;RED5846;3513009
Cliente 252339;RED5851;4118204
Cliente 257583;RED5858;3525706
Cliente 257591;RED5859;3550308
Cliente 259607;RED5871;4115200
Cliente 259659;RED5873;3522505
Cliente 259660;RED5874;3525706
Cliente 259662;RED5875;3550308
Cliente 259749;RED5883;4106902
Cliente 260102;RED5894;4106902
Cliente 260413;RED5903;3554102
Cliente 260527;RED5916;3538709
Cliente 260592;RED5921;3538709
Cliente 260772;RED5930;3543402
Cliente 260773;RED5931;3543402
Cliente 261157;RED5947;3502804
Cliente 261379;RED5958;3525706
Cliente 261540;RED5965;3127107
Cliente 261661;RED5970;3506508
Cliente 277465;RED5996;4115200
Cliente 278353;RED6031;3543402
Cliente 280333;RED6069;3523107
Cliente 280385;RED6076;3506508
Cliente 280434;RED6084;3505500
Cliente 280508;RED6088;3552205
Cliente 280528;RED6089;3552205
Cliente 280529;RED6090;3506508
Cliente 280530;RED6091;3506508
Cliente 280558;RED6093;3513009
Cliente 280583;RED6097;3507605
Cliente 280689;RED6101;4117503
Cliente 280737;RED6104;3523107
Cliente 280790;RED6106;3513009
Cliente 281101;RED6115;4119905
Cliente 281745;RED6136;4100400
Cliente 281763;RED6140;3550308
Cliente 282290;RED6171;4119905
Cliente 282298;RED6172;3550308
Cliente 282418;RED6195;4113700
Cliente 283220;RED6271;3552205
Cliente 283326;RED6292;3531407
Cliente 283373;RED6304;3552205
Cliente 283374;RED6305;3552205
Cliente 283459;RED6307;4123907
Cliente 283466;RED6309;3539202
Cliente 283468;RED6310;4104808
Cliente 283528;RED6316;3554102
Cliente 284245;RED6379;4119905
Cliente 284246;RED6380;4106902
Cliente 284343;RED6401;3515509
Cliente 284420;RED6419;3506508
Cliente 284477;RED6443;4102406
Cliente 284478;RED6444;4124103
Cliente 284632;RED6469;3540804
Cliente 284640;RED6471;3527108
Cliente 284641;RED6472;3506508
Cliente 284642;RED6473;3506508
Cliente 284643;RED6474;3527108
Cliente 284644;RED6475;3502804
Cliente 284645;RED6476;3541406
Cliente 284646;RED6477;3527108
Cliente 284647;RED6478;3541406
Cliente 284648;RED6479;3529005
Cliente 284649;RED6480;3504008
Cliente 284650;RED6481;3527108
Cliente 284742;RED6486;4115200
Cliente 284880;RED6522;3550308
Cliente 284949;RED6550;3518800
Cliente 284953;RED6552;3548708
Cliente 284984;RED6562;3550308
Cliente 285184;RED6604;3541406
Cliente 285364;RED6670;3522505
Cliente 285365;RED6671;3534708
Cliente 285366;RED6672;3552205
Cliente 285376;RED6677;3535507
Cliente 285405;RED6688;3551603
Cliente 285408;RED6690;3505500
Cliente 285536;RED6745;4106902
Cliente 285783;RED6851;3549805
Cliente 285888;RED6888;3549805
Cliente 285902;RED6889;3554102
Cliente 285960;RED6902;3554102
Cliente 285976;RED6903;3525706
Cliente 286346;RED6955;3550308
Cliente 286347;RED6956;3504008
Cliente 286568;RED7041;4128104
Cliente 286721;RED7147;4119905
Cliente 287007;RED7273;3501608
Cliente 287272;RED7372;4117503
Cliente 287566;RED7427;3538709
Cliente 287567;RED7428;3543402
Cliente 287568;RED7429;3545803
Cliente 287725;RED7454;4209102
Cliente 287747;RED7460;3503208
Cliente 287748;RED7461;3506508
Cliente 288158;RED7531;4101507
Cliente 288180;RED7533;3552205
Cliente 288193;RED7536;3511003
Cliente 288324;RED7547;3550308
Cliente 288543;RED7588;3537305
Cliente 288693;RED7616;4113700
Cliente 288767;RED7630;3525706
Cliente 288792;RED7636;3550308
Cliente 288793;RED7637;3550308
Cliente 288794;RED7638;3550308
Cliente 288795;RED7639;3513009
Cliente 288796;RED7640;3522505
Cliente 288797;RED7641;3543402
Cliente 288798;RED7642;3534708
Cliente 288805;RED7644;3527108
Cliente 288818;RED7650;3522505
Cliente 289273;RED7707;3550308
Cliente 289274;RED7708;3550308
Cliente 289285;RED7709;3548708
Cliente 289460;RED7721;4113700
Cliente 289484;RED7726;3510401
Cliente 289562;RED7736;3555000
Cliente 289611;RED7742;3543402
Cliente 289612;RED7743;3529005
Cliente 289613;RED7744;3526902
Cliente 289614;RED7745;3506508
Cliente 289615;RED7746;4106902
Cliente 289745;RED7766;3519071
Cliente 289953;RED7800;3525706
Cliente 290011;RED7819;3536109
Cliente 290359;RED7925;4108304
Cliente 290444;RED7950;3530300
Cliente 290642;RED8007;4102406
Cliente 290684;RED8011;3523107
Cliente 290714;RED8016;3550308
Cliente 290737;RED8024;4106902
Cliente 290740;RED8026;4106902
Cliente 290774;RED8031;3510401
Cliente 290826;RED8045;3504008
Cliente 290827;RED8046;3555000
Cliente 291470;RED8233;3506508
Cliente 291505;RED8244;4127106
Cliente 291506;RED8245;4127106
Cliente 291507;RED8246;4128104
Cliente 291508;RED8247;4127106
Cliente 291509;RED8248;4127106
Cliente 291742;RED8303;4125506
Cliente 292176;RED8383;3552205
Cliente 292558;RED8469;3518800
Cliente 292629;RED8480;4122404
Cliente 292732;RED8501;4113700
Cliente 292743;RED8506;3519071
Cliente 293312;RED8656;3552205
Cliente 293619;RED8733;4113700
Cliente 293643;RED8742;4115200
Cliente 293689;RED8761;4106902
Cliente 293961;RED8829;3505500
Cliente 294883;RED8997;4115200
Cliente 295539;RED9125;4106902
Cliente 295551;RED9130;3549805
Cliente 295652;RED9139;3552205
Cliente 295972;RED9223;3532603

Grupo:;Tradicional;3418 clientes
Cliente 109;TRA0002;4113700
Cliente 2007;TRA0017;3506508
Cliente 2012;TRA0018;3504008
Cliente 2022;TRA0022;3541406
Cliente 2025;TRA0023;3539202
Cliente 2125;TRA0051;4125506
Cliente 2160;TRA0054;3304557
Cliente 2162;TRA0055;4106902
Cliente 2173;TRA0057;4104808
Cliente 2229;TRA0062;4117503
Cliente 2276;TRA0070;3516705
Cliente 2286;TRA0072;3555000
Cliente 2316;TRA0081;3534708
Cliente 2320;TRA0083;3549805
Cliente 2329;TRA0085;4115200
Cliente 2342;TRA0088;4104808
Cliente 2365;TRA0090;4106902
Cliente 2378;TRA0093;4123907
Cliente 2521;TRA0101;3541406
Cliente 2526;TRA0102;4127106
Cliente 2572;TRA0107;3504008
Cliente 2582;TRA0108;3501608
Cliente 2591;TRA0109;3520509
Cliente 2647;TRA0111;3518800
Cliente 2652;TRA0112;4102406
Cliente 2653;TRA0113;4120705
Cliente 2654;TRA0114;4102406
Cliente 2659;TRA0115;4114807
Cliente 2715;TRA0117;3520509
Cliente 2740;TRA0121;4107504
Cliente 2760;TRA0125;3506508
Cliente 2798;TRA0132;4100400
Cliente 2821;TRA0136;4113700
Cliente 2857;TRA0137;4105508
Cliente 2898;TRA0139;4124103
Cliente 2944;TRA0140;3541406
Cliente 2955;TRA0141;4120705
Cliente 3005;TRA0143;4111803
Cliente 3020;TRA0145;3550308
Cliente 3040;TRA0146;3515509
Cliente 3094;TRA0152;3514403
Cliente 3164;TRA0158;4103701
Cliente 3178;TRA0160;3547809
Cliente 3228;TRA0162;4100400
Cliente 3260;TRA0165;3531407
Cliente 3303;TRA0170;4109708
Cliente 3360;TRA0174;4104808
Cliente 3393;TRA0179;4102406
Cliente 3406;TRA0182;3516705
Cliente 3412;TRA0183;3506508
Cliente 3421;TRA0185;3528106
Cliente 3447;TRA0189;4106902
Cliente 3448;TRA0190;4101507
Cliente 3521;TRA0195;4106902
Cliente 3622;TRA0211;3509502
Cliente 3649;TRA0217;4106902
Cliente 3760;TRA0225;3505500
Cliente 3946;TRA0244;4118204
Cliente 4033;TRA0251;3548708
Cliente 4144;TRA0262;4128104
Cliente 4172;TRA0264;4110706
Cliente 4192;TRA0265;3106200
Cliente 4221;TRA0268;3538709
Cliente 4230;TRA0271;3540804
Cliente 4237;TRA0272;4105508
Cliente 4252;TRA0273;3525706
Cliente 4283;TRA0274;4117503
Cliente 4317;TRA0278;3501608
Cliente 4318;TRA0279;4114807
Cliente 4332;TRA0280;3553401
Cliente 4357;TRA0281;4101507
Cliente 4378;TRA0283;3506508
Cliente 4400;TRA0286;3510401
Cliente 4422;TRA0289;3541406
Cliente 4425;TRA0290;4101507
Cliente 4429;TRA0291;3542404
Cliente 4480;TRA0295;3525706
Cliente 4508;TRA0298;3517802
Cliente 4547;TRA0301;3538709
Cliente 4551;TRA0302;3526902
Cliente 4559;TRA0303;3550308
Cliente 4571;TRA0306;3505500
Cliente 4581;TRA0308;3506508
Cliente 4710;TRA0311;3536109
Cliente 4772;TRA0313;3534708
Cliente 4875;TRA0318;3535507
Cliente 4957;TRA0322;3518800
Cliente 4958;TRA0323;3502804
Cliente 4969;TRA0324;3512407
Cliente 4973;TRA0325;3518800
Cliente 5022;TRA0329;4102406
Cliente 5062;TRA0333;3523107
Cliente 5082;TRA0334;3503208
Cliente 5085;TRA0335;3504008
Cliente 5130;TRA0342;3547809
Cliente 5132;TRA0344;3520509
Cliente 5164;TRA0347;3538709
Cliente 5191;TRA0350;3505500
Cliente 5192;TRA0351;3505500
Cliente 5223;TRA0353;3549805
Cliente 5263;TRA0356;3505500
Cliente 5273;TRA0357;4112801
Cliente 5274;TRA0358;5003702
Cliente 5286;TRA0359;4127106
Cliente 5301;TRA0360;4113700
Cliente 5353;TRA0363;4115200
Cliente 5362;TRA0364;4117503
Cliente 5439;TRA0368;3541406
Cliente 5446;TRA0370;3541406
Cliente 5447;TRA0371;3512407
Cliente 5509;TRA0375;3550308
Cliente 5515;TRA0376;3501608
Cliente 5545;TRA0378;3506508
Cliente 5583;TRA0382;3541406
Cliente 5584;TRA0383;3541406
Cliente 5595;TRA0384;3530300
Cliente 5672;TRA0390;4101507
Cliente 5684;TRA0391;4101507
Cliente 5693;TRA0392;3539202
Cliente 5700;TRA0393;4105508
Cliente 5720;TRA0395;4119905
Cliente 5737;TRA0396;4104808
Cliente 5740;TRA0397;4126256
Cliente 5789;TRA0403;3518800
Cliente 5811;TRA0408;3518800
Cliente 5819;TRA0410;4115200
Cliente 5826;TRA0411;4127106
Cliente 5827;TRA0412;4108304
Cliente 5876;TRA0414;3510401
Cliente 5906;TRA0415;3515509
Cliente 5931;TRA0416;3549805
Cliente 5947;TRA0418;3537305
Cliente 5956;TRA0419;3555000
Cliente 5983;TRA0420;3538709
Cliente 5986;TRA0421;3534708
Cliente 6002;TRA0422;3526902
Cliente 6006;TRA0423;4101507
Cliente 6020;TRA0425;4123907
Cliente 6108;TRA0436;4106902
Cliente 6124;TRA0437;3529005
Cliente 6131;TRA0439;3516705
Cliente 6163;TRA0446;3507605
Cliente 6164;TRA0447;3507605
Cliente 6165;TRA0448;3507605
Cliente 6193;TRA0451;3536109
Cliente 6200;TRA0452;3502804
Cliente 6226;TRA0453;4106902
Cliente 6234;TRA0454;3532603
Cliente 6287;TRA0459;3526902
Cliente 6344;TRA0461;3523107
Cliente 6373;TRA0462;3529005
Cliente 6412;TRA0465;3518800
Cliente 6476;TRA0468;3508108
Cliente 6482;TRA0469;3513009
Cliente 6490;TRA0471;4103701
Cliente 6519;TRA0473;4109708
Cliente 6521;TRA0474;3526902
Cliente 6558;TRA0476;3515509
Cliente 6652;TRA0482;3508108
Cliente 6713;TRA0485;3550308
Cliente 6769;TRA0488;3535507
Cliente 6804;TRA0491;3538709
Cliente 6856;TRA0492;3520509
Cliente 6872;TRA0495;4124103
Cliente 6932;TRA0501;3541406
Cliente 7058;TRA0510;4101507
Cliente 7115;TRA0515;3547809
Cliente 7128;TRA0517;3518800
Cliente 7200;TRA0521;3534708
Cliente 7202;TRA0522;3553401
Cliente 7234;TRA0525;3518800
Cliente 7235;TRA0526;4104808
Cliente 7325;TRA0529;4101507
Cliente 7336;TRA0531;3545803
Cliente 7415;TRA0535;3505500
Cliente 7416;TRA0536;3517802
Cliente 7423;TRA0538;4100400
Cliente 7426;TRA0539;3530300
Cliente 7427;TRA0540;4106902
Cliente 7441;TRA0541;3509502
Cliente 7487;TRA0548;4115200
Cliente 7531;TRA0555;3548708
Cliente 7549;TRA0556;3518800
Cliente 7703;TRA0567;3538709
Cliente 7705;TRA0568;4104808
Cliente 7760;TRA0570;3540804
Cliente 7889;TRA0577;4118204
Cliente 7897;TRA0578;3550308
Cliente 7908;TRA0579;3509502
Cliente 7952;TRA0585;3541406
Cliente 8073;TRA0596;4101507
Cliente 8090;TRA0598;4106902
Cliente 8093;TRA0599;3516705
Cliente 8106;TRA0602;4123907
Cliente 8110;TRA0604;3529005
Cliente 8137;TRA0608;3519071
Cliente 8178;TRA0615;4105508
Cliente 8198;TRA0616;4106902
Cliente 8286;TRA0629;3511003
Cliente 8289;TRA0630;3528106
Cliente 8302;TRA0632;3542404
Cliente 8305;TRA0633;4119905
Cliente 8310;TRA0634;3522505
Cliente 8347;TRA0637;3538709
Cliente 8348;TRA0638;4108304
Cliente 8352;TRA0640;3547809
Cliente 8366;TRA0642;3541406
Cliente 8462;TRA0648;3519071
Cliente 8475;TRA0650;3550308
Cliente 8485;TRA0651;3501608
Cliente 8494;TRA0652;3504008
Cliente 8502;TRA0655;4112801
Cliente 8541;TRA0656;3511003
Cliente 8562;TRA0660;3518800
Cliente 8609;TRA0662;3552205
Cliente 8635;TRA0664;4111803
Cliente 8701;TRA0666;4119905
Cliente 8750;TRA0669;4115200
Cliente 8755;TRA0670;3524808
Cliente 8868;TRA0675;3530300
Cliente 8941;TRA0679;3549805
Cliente 8950;TRA0680;3507605
Cliente 8985;TRA0681;4115200
Cliente 9006;TRA0683;3518800
Cliente 9023;TRA0684;4111803
Cliente 9024;TRA0685;3537305
Cliente 9066;TRA0688;3541406
Cliente 9079;TRA0689;4107504
Cliente 9217;TRA0696;3512407
Cliente 9225;TRA0698;3553401
Cliente 9227;TRA0699;4106902
Cliente 9324;TRA0704;3544608
Cliente 9325;TRA0705;3554102
Cliente 9391;TRA0711;3549805
Cliente 9405;TRA0713;3501608
Cliente 9476;TRA0721;3502804
Cliente 9548;TRA0729;4118204
Cliente 9566;TRA0731;4107504
Cliente 9596;TRA0732;3536109
Cliente 9599;TRA0734;3538709
Cliente 9628;TRA0735;3537305
Cliente 9633;TRA0737;4119905
Cliente 9728;TRA0746;3515509
Cliente 9744;TRA0749;3506508
Cliente 9750;TRA0750;3541406
Cliente 9756;TRA0751;3533403
Cliente 9777;TRA0755;4120705
Cliente 9783;TRA0757;4110706
Cliente 9870;TRA0763;3533403
Cliente 9919;TRA0766;3517802
Cliente 9999;TRA0772;3542404
Cliente 10001;TRA0773;3550308
Cliente 10036;TRA0777;4104808
Cliente 10104;TRA0781;3550308
Cliente 10117;TRA0784;3526902
Cliente 10177;TRA0791;4109708
Cliente 10180;TRA0792;4123907
Cliente 10187;TRA0793;3549805
Cliente 10222;TRA0795;3529005
Cliente 10279;TRA0803;4115200
Cliente 10314;TRA0805;4125506
Cliente 10342;TRA0810;3545803
Cliente 10378;TRA0812;3509502
Cliente 10402;TRA0814;3518800
Cliente 10411;TRA0816;4104808
Cliente 10446;TRA0818;3530300
Cliente 10460;TRA0819;3551603
Cliente 10499;TRA0824;3519071
Cliente 10545;TRA0826;3518800
Cliente 10553;TRA0827;3511003
Cliente 10570;TRA0829;4101507
Cliente 10627;TRA0838;3530300
Cliente 10636;TRA0839;3519071
Cliente 10650;TRA0840;4106902
Cliente 10678;TRA0843;4114807
Cliente 10715;TRA0847;2611606
Cliente 10716;TRA0848;2611606
Cliente 10719;TRA0850;3519071
Cliente 10734;TRA0851;3538709
Cliente 10743;TRA0853;3550308
Cliente 10753;TRA0854;3515509
Cliente 10812;TRA0858;3542404
Cliente 10839;TRA0861;3509502
Cliente 10932;TRA0865;3553401
Cliente 10955;TRA0867;4115200
Cliente 10960;TRA0868;4101507
Cliente 11026;TRA0872;3509502
Cliente 11078;TRA0876;3504008
Cliente 11136;TRA0880;3502804
Cliente 11153;TRA0882;4125506
Cliente 11157;TRA0883;3509502
Cliente 11169;TRA0886;4126256
Cliente 11174;TRA0887;3549805
Cliente 11214;TRA0891;4105508
Cliente 11268;TRA0896;3529005
Cliente 11271;TRA0898;3541406
Cliente 11275;TRA0899;3530300
Cliente 11286;TRA0901;4101507
Cliente 11343;TRA0906;4115200
Cliente 11417;TRA0909;4209102
Cliente 11445;TRA0912;3522505
Cliente 11464;TRA0913;3538709
Cliente 11467;TRA0914;3504008
Cliente 11468;TRA0915;4102406
Cliente 11470;TRA0916;4101507
Cliente 11512;TRA0917;4109708
Cliente 11532;TRA0920;4111803
Cliente 11587;TRA0927;3538709
Cliente 11588;TRA0928;3543402
Cliente 11589;TRA0929;3512407
Cliente 11590;TRA0930;3509502
Cliente 11591;TRA0931;3526902
Cliente 11602;TRA0932;3556206
Cliente 11606;TRA0933;4111803
Cliente 11633;TRA0944;3538709
Cliente 11641;TRA0946;3544608
Cliente 11670;TRA0947;3542404
Cliente 11771;TRA0957;3541406
Cliente 11844;TRA0961;4104808
Cliente 11854;TRA0962;3534708
Cliente 11865;TRA0963;3518800
Cliente 11877;TRA0964;4125506
Cliente 11927;TRA0970;4101507
Cliente 11979;TRA0971;3527108
Cliente 11997;TRA0974;4112801
Cliente 12020;TRA0975;4111803
Cliente 12024;TRA0976;3518800
Cliente 12052;TRA0978;3541406
Cliente 12088;TRA0981;4108304
Cliente 12099;TRA0983;4104808
Cliente 12265;TRA0990;3534708
Cliente 12271;TRA0991;3552205
Cliente 12325;TRA0994;3538709
Cliente 12326;TRA0995;3538709
Cliente 12328;TRA0996;3538709
Cliente 12329;TRA0997;3538709
Cliente 12330;TRA0998;3538709
Cliente 12341;TRA1000;3541406
Cliente 12344;TRA1001;4100400
Cliente 12467;TRA1005;4103701
Cliente 12473;TRA1007;3556206
Cliente 12483;TRA1008;3506508
Cliente 12580;TRA1018;3522505
Cliente 12582;TRA1019;3522505
Cliente 12607;TRA1021;3518800
Cliente 12611;TRA1023;4112801
Cliente 12626;TRA1025;4109708
Cliente 12643;TRA1026;3535507
Cliente 12654;TRA1027;3549805
Cliente 12699;TRA1030;4115200
Cliente 12700;TRA1031;4119905
Cliente 12716;TRA1033;3546405
Cliente 12723;TRA1035;3127107
Cliente 12730;TRA1036;3509502
Cliente 12744;TRA1037;3521606
Cliente 12754;TRA1038;3304557
Cliente 12779;TRA1041;4101507
Cliente 12786;TRA1042;3542404
Cliente 12842;TRA1044;3531407
Cliente 12846;TRA1046;4106902
Cliente 12847;TRA1047;3506508
Cliente 12889;TRA1048;4119905
Cliente 12902;TRA1049;4115200
Cliente 12920;TRA1053;3538709
Cliente 12952;TRA1055;4101507
Cliente 12982;TRA1059;3518800
Cliente 13077;TRA1066;4108304
Cliente 13107;TRA1068;3549805
Cliente 13119;TRA1069;3549805
Cliente 13163;TRA1071;3503208
Cliente 13165;TRA1072;3534708
Cliente 13274;TRA1077;4128104
Cliente 13302;TRA1079;4125506
Cliente 13395;TRA1088;3514403
Cliente 13397;TRA1089;4105508
Cliente 13400;TRA1091;3510401
Cliente 13411;TRA1093;3552205
Cliente 13489;TRA1099;3556206
Cliente 13521;TRA1102;3538709
Cliente 13534;TRA1105;3518800
Cliente 13573;TRA1107;3542404
Cliente 13583;TRA1108;3550308
Cliente 13584;TRA1109;3550308
Cliente 13591;TRA1111;4103701
Cliente 13597;TRA1112;4128104
Cliente 13628;TRA1116;4125506
Cliente 13643;TRA1119;3508108
Cliente 13644;TRA1120;3551603
Cliente 13854;TRA1137;4128104
Cliente 13862;TRA1138;3517802
Cliente 13878;TRA1139;3502804
Cliente 13885;TRA1140;3545803
Cliente 13942;TRA1145;3550308
Cliente 13955;TRA1147;4121000
Cliente 14069;TRA1154;3550308
Cliente 14112;TRA1157;3537305
Cliente 14222;TRA1164;3506508
Cliente 14254;TRA1169;3504008
Cliente 14286;TRA1173;3534708
Cliente 14394;TRA1179;3541406
Cliente 14484;TRA1182;3543402
Cliente 14492;TRA1183;3550308
Cliente 14498;TRA1185;3509502
Cliente 14542;TRA1186;3545803
Cliente 14552;TRA1189;3503208
Cliente 14584;TRA1193;3537305
Cliente 14622;TRA1196;4106902
Cliente 14635;TRA1197;4128104
Cliente 14713;TRA1201;3520509
Cliente 14812;TRA1208;4102406
Cliente 14817;TRA1209;4101507
Cliente 14909;TRA1213;3530300
Cliente 14930;TRA1214;4106902
Cliente 14942;TRA1215;5002704
Cliente 14943;TRA1216;5002704
Cliente 14984;TRA1217;3522505
